Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-30,3.22781,3.43293,3.07845,3.21359,280438.4649991
2007-10-31,3.20888,3.20888,3.10171,3.10171,47264.10323296
2007-11-02,3.12506,3.19484,3.10171,3.14832,52912.40754192
2007-11-05,3.20888,3.20888,3.10171,3.10171,41232.933573899
2007-11-06,3.14832,3.14832,3.12506,3.14832,28372.61131141
2007-11-07,3.14832,3.15303,2.98512,2.98512,94562.539500032
2007-11-08,3.00857,3.07374,2.70993,3.07374,70695.878817118
2007-11-09,2.86853,3.07845,2.86853,3.07374,30729.105925482
2007-11-12,3.21359,3.21359,2.89188,3.03183,24269.293537504
2007-11-13,3.07845,3.09248,3.03183,3.03183,112293.99102658
2007-11-14,3.21839,3.21839,3.03183,3.14371,734.5188510086
2007-11-15,3.03183,3.09248,2.80778,3.09248,12347.407540751
2007-11-16,3.02702,3.03183,3.02702,3.03183,2804.9048474776
2007-11-19,3.07845,3.09248,3.07845,3.09248,211.2001795393
2007-11-20,3.07845,3.07845,2.91043,2.91043,1014.3850987725
2007-11-21,2.76587,2.76587,2.56528,2.56528,3089.973070107
2007-11-22,2.56528,2.56528,2.56528,2.56528,1501.2899461833
2007-11-23,2.3368,2.88717,2.3368,2.88717,965.4865350368
2007-11-26,3.07374,3.09248,2.79865,2.79865,12715.707361228
2007-11-27,2.79865,2.93369,2.79865,2.86853,1829.0143627098
2007-11-28,2.70532,3.03183,2.70532,3.03183,26121.196589622
2007-11-30,2.7752,3.12506,2.7752,3.12506,186403.40575043
2007-12-03,3.12506,3.21839,3.03183,3.21839,70069.561043312
2007-12-05,3.12045,3.17168,2.96647,3.12506,17025.023339808
2007-12-06,3.12506,3.21359,3.12506,3.21359,19447.062837185
2007-12-10,3.02702,3.12045,3.02702,3.03644,2205.637342972
2007-12-11,3.03183,3.38141,3.03183,3.38141,161752.2872578
2007-12-12,3.39092,3.39092,3.27414,3.35824,14101.513465397
2007-12-13,3.27414,3.35363,3.27414,3.35363,1820.691202925
2007-12-14,3.22781,3.35824,3.03183,3.35824,218697.26571546
2007-12-17,3.35363,3.35363,3.29759,3.29759,1405.5736086581
2007-12-18,3.26491,3.26491,3.26491,3.26491,429.6831238903
2007-12-19,3.35824,3.35824,3.35824,3.35824,4287.4676841451
2007-12-20,3.35824,3.68466,3.35824,3.68466,47285.951527395
2007-12-21,3.68466,3.96465,3.68466,3.82461,20040.087971852
2007-12-27,3.82931,4.15112,3.82461,3.96465,12434.800718491
2007-12-28,4.12786,4.19783,3.988,4.1044,42791.445243603
2008-01-02,4.2678,4.2678,4.1044,4.19783,14372.016158403
2008-01-03,4.15112,4.19783,3.96465,3.96465,12402.548474325
2008-01-04,3.96465,3.96465,3.96465,3.96465,4006.5610414081
2008-01-07,3.88064,3.88064,3.58671,3.73128,10189.628366541
2008-01-08,3.59133,3.59604,3.59133,3.59604,3596.6454220067
2008-01-09,3.40486,3.5449,3.31163,3.5449,13700.961400754
2008-01-10,3.40486,3.44686,3.31163,3.44686,4938.7549373057
2008-01-11,3.40486,3.40486,3.26953,3.38141,7166.2405747128
2008-01-14,3.39554,3.39554,3.07845,3.26491,13136.026930361
2008-01-15,3.26491,3.49809,3.26491,3.35824,6486.8626572785
2008-01-16,3.17168,3.26491,2.89188,3.17168,17751.219031032
2008-01-17,3.07845,3.40486,3.07845,3.12506,81477.491923353
2008-01-18,3.26491,3.26491,3.17168,3.181,4928.3509875747
2008-01-21,3.26491,3.26491,2.87314,3.10171,6811.4658888857
2008-01-22,3.19484,3.19484,3.03183,3.03183,1289.0493716709
2008-01-23,3.181,3.19484,3.03183,3.03183,38910.77199394
2008-01-24,3.07845,3.33479,3.03183,3.33479,3807.845601546
2008-01-25,3.68466,3.68466,3.28827,3.33479,12198.631059597
2008-01-28,3.35824,3.35824,3.07845,3.11103,1927.8518851543
2008-01-29,3.15765,3.48877,3.12506,3.12506,3266.840215534
2008-01-30,3.17168,3.39554,3.05499,3.39554,8420.9569122714
2008-01-31,3.45148,3.45148,3.26491,3.26491,13834.131957311
2008-02-01,3.31634,3.31634,3.17649,3.31634,4129.3276482339
2008-02-04,3.38141,3.38141,3.26491,3.26491,76513.767506693
2008-02-05,3.26491,3.26491,3.17168,3.17168,28392.378815899
2008-02-06,3.07845,3.17168,3.03183,3.17168,75189.344705937
2008-02-07,3.12506,3.26491,3.08758,3.26491,112414.67684345
2008-02-11,3.25569,3.42812,3.25569,3.42812,2055.8204668456
2008-02-12,3.40486,3.40486,3.31634,3.38141,3536.3025135669
2008-02-13,3.35824,3.35824,3.35824,3.35824,429.6831238903
2008-02-14,3.40486,3.40486,3.21839,3.35824,4964.7648116332
2008-02-15,3.21839,3.33479,3.21839,3.33479,2144.2540395591
2008-02-18,3.26491,3.33479,3.07845,3.33479,3599.766606926
2008-02-19,3.10171,3.28827,3.10171,3.28827,4308.2755836071
2008-02-20,3.12506,3.25569,3.07845,3.25569,3730.8563735366
2008-02-21,3.10632,3.25569,3.07845,3.25098,123462.6310628
2008-02-22,3.12506,3.21839,3.12506,3.21839,2147.3752244784
2008-02-25,3.25098,3.25098,3.07845,3.21839,72908.798924902
2008-02-26,3.21839,3.24636,3.21839,3.24636,2827.7935368858
2008-02-27,3.21839,3.22781,3.21839,3.21839,23687.712747541
2008-02-28,3.21839,3.21839,3.05499,3.20888,14022.443447442
2008-02-29,3.2604,3.33479,3.18562,3.32547,28903.212747691
2008-03-03,3.31163,3.31163,3.2604,3.26491,13723.850090162
2008-03-04,3.28366,3.28366,3.17168,3.21839,13360.75224455
2008-03-05,3.17168,3.31163,3.17168,3.31163,49070.228906261
2008-03-06,3.40034,3.73128,3.31163,3.56826,19371.114004149
2008-03-07,3.31163,3.72186,3.31163,3.63804,33693.191203843
2008-03-10,3.68466,3.80125,3.63804,3.80125,22963.597846263
2008-03-11,3.73128,3.94139,3.73128,3.94139,12976.846499476
2008-03-12,3.96465,4.05788,3.96465,4.05788,12947.71544023
2008-03-13,3.7454,4.01127,3.7454,4.01127,277.7854578177
2008-03-14,3.77789,4.08133,3.77789,3.92735,19306.609515817
2008-03-17,4.1044,4.1044,3.80125,3.80125,958.2037702251
2008-03-18,4.08133,4.08133,3.73589,4.05788,7454.4299822615
2008-03-19,3.91794,4.00656,3.87132,4.00656,3237.7091562872
2008-03-20,3.81528,4.00656,3.63804,4.00185,13708.244165566
2008-03-25,3.87132,4.05336,3.87132,4.03453,9694.4003593458
2008-03-26,4.01127,4.07662,3.91794,3.91794,235086.6077267
2008-03-27,3.92274,4.1044,3.92274,4.1044,234655.88420784
2008-03-28,4.1044,4.14179,3.96936,4.1044,5293.5296231328
2008-03-31,4.1044,4.13295,3.96734,4.1044,2358.5754040177
2008-04-01,4.1044,4.19783,3.988,4.01127,10616.190305512
2008-04-02,3.988,4.18851,3.92274,4.18851,1276.5646319937
2008-04-03,4.19783,4.19783,4.15112,4.15112,1951.7809695356
2008-04-04,4.10911,4.1838,4.10911,4.1838,452.5718132985
2008-04-07,4.17909,4.17909,3.97397,4.01127,245359.46769109
2008-04-08,4.05788,4.05788,4.01127,4.01127,1119.4649910556
2008-04-09,3.96465,3.96465,3.83393,3.83393,216863.04937788
2008-04-10,3.80125,3.91794,3.80125,3.91794,45834.60053992
2008-04-11,3.88987,4.00185,3.74089,3.96465,33593.313286426
