Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-02-25,46.95,46.95,44.45,44.5,2907
2020-02-26,44.29,44.6,42.67,43.72,8836
2020-02-27,42.79,43.41,39.44,40.2,19322
2020-02-28,37.7,38.4,35.19,36.21,42081
2020-03-02,39.03,39.09,36.21,37.64,7713
2020-03-03,39,42.02,38.69,41.16,23608
2020-03-04,39.97,41.3,39.97,40.18,8100
2020-03-05,41.2,41.29,38.5,38.59,10064
2020-03-06,37.5,37.55,35.4,36.5,13582
2020-03-09,31.4,33.08,29.62,30.69,45893
2020-03-10,31.06,31.34,29.11,29.5,16171
2020-03-11,29.43,29.43,25.5,25.89,26395
2020-03-12,25,25,19.72,19.99,31978
2020-03-13,20.8,22.63,19.2,20.79,35767
2020-03-16,19.05,20.2,17.18,19.78,40698
2020-03-17,21.56,23,20.37,22.77,40091
2020-03-18,21.65,23.68,21,21.86,32983
2020-03-19,22.58,24.13,21.54,23.98,27002
2020-03-20,26.31,26.36,24,24.45,45132
2020-03-23,24,24,21.3,21.3,29704
2020-03-24,23.1,23.3,22.05,23.1,41009
2020-03-25,24.26,24.75,21.9,22.7,43517
2020-03-26,22.06,24.26,21.8,24.18,47022
2020-03-27,24.09,24.44,23.5,23.69,24631
2020-03-30,23.58,23.87,22.79,23.87,21041
2020-03-31,24.5,25.35,24.26,25.09,21219
2020-04-01,24.3,24.56,23.86,24.56,22737
2020-04-02,24.53,24.6,23.45,24.04,18367
2020-04-03,24.04,24.91,23.77,24.8,19187
2020-04-06,26.1,27.38,25.96,27,17141
2020-04-07,29,31.3,28.1,28.1,30801
2020-04-08,27.85,28.48,26.79,27.3,37129
2020-04-09,28.65,28.65,27.21,28.45,38018
2020-04-14,29.48,30.19,28.82,30,20468
2020-04-15,29.91,29.91,27.89,27.89,31027
2020-04-16,28.3,28.42,27.4,27.62,9619
2020-04-17,28.93,28.93,28.24,28.73,7800
2020-04-20,28.76,29.28,27.9,29.28,4556
2020-04-21,28.68,28.7,26.72,26.9,14248
2020-04-22,26.74,28.12,26.6,28.12,15929
2020-04-23,28.2,28.7,27.32,28.7,14555
2020-04-24,28.21,28.75,27.75,27.75,25732
2020-04-27,28.55,28.57,26.84,27.65,18336
2020-04-28,27.03,28.55,27.03,27.7,43098
2020-04-29,28.04,29.7,28.04,29.47,20496
2020-04-30,30.21,30.78,29.2,29.43,38885
2020-05-04,27.8,28.28,27.61,27.61,31128
2020-05-05,28.18,28.3,27.4,27.72,23390
2020-05-06,27.6,27.6,26.65,26.7,15319
2020-05-07,26.9,27.84,26.41,27.25,12886
