Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-23,20.007,20.383,19.817,20.007,417628
2007-11-26,20.843,20.843,20.007,20.075,259225
2007-11-27,20.007,20.026,20.007,20.026,135364
2007-11-28,20.092,20.342,20.016,20.092,39241
2007-11-29,20.007,20.092,20.007,20.092,1214
2007-11-30,20.092,20.092,20.083,20.083,1323
2007-12-03,20.026,20.034,20.026,20.034,3716
2007-12-04,20.034,20.049,20.034,20.034,1904
2007-12-05,20.016,20.843,20.016,20.843,329108
2007-12-06,20.141,20.141,20.135,20.135,826
2007-12-07,20.425,21.176,20.425,20.843,14449
2007-12-10,20.843,20.843,20.8,20.843,2187
2007-12-11,20.843,23.011,20.792,22.927,280826
2007-12-12,21.675,24.177,21.675,24.177,51834
2007-12-13,23.593,25.844,22.935,25.02,18359
2007-12-14,24.969,25.412,24.595,25.02,4594
2007-12-17,25.011,25.344,25.011,25.344,30371
2007-12-18,25.344,27.512,24.177,25.011,32095
2007-12-19,25.011,25.844,25.011,25.844,207933
2007-12-20,25.844,28.246,25.011,28.246,82959
2007-12-21,30.013,30.013,27.512,28.237,257601
2007-12-27,28.347,29.929,27.928,28.347,249257
2007-12-28,28.279,28.347,27.928,28.347,7969
2008-01-02,32.514,32.514,26.429,29.18,127019
2008-01-03,29.139,29.139,27.512,28.26,171631
2008-01-04,27.512,27.928,26.444,26.444,325019
2008-01-07,25.177,27.512,25.177,25.844,37712
2008-01-08,26.261,27.512,25.844,27.262,451630
2008-01-09,27.262,27.262,25.761,26.678,165994
2008-01-10,25.393,25.761,25.393,25.761,17249
2008-01-11,25.427,26.678,25.262,26.678,4687
2008-01-14,25.995,26.678,25.06,26.678,6347
2008-01-15,27.179,27.262,26.596,26.596,588799
2008-01-16,26.429,26.429,25.595,25.595,49320
2008-01-17,27.012,27.012,25.677,25.844,131798
2008-01-18,26.261,26.261,26.261,26.261,5031
2008-01-21,25.677,26.261,24.177,24.885,87345
2008-01-22,24.177,24.885,24.177,24.836,61921
2008-01-23,24.885,25.746,24.177,25.427,36166
2008-01-24,26.261,26.261,25.011,25.427,12843
2008-01-25,25.262,25.427,25.262,25.427,189085
2008-01-28,25.427,25.746,25.385,25.746,61457
2008-01-29,25.844,25.844,25.427,25.427,459211
2008-01-30,25.427,25.427,25.427,25.427,1326
2008-01-31,25.227,27.094,25.218,25.427,143861
2008-02-01,25.844,25.844,25.427,25.435,159291
