Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-11,9.50389,9.59166,8.71119,9.19906,2693.1988794432
2012-05-14,9.06819,9.06819,7.76061,7.76061,856.834733859
2012-05-15,8.1966,8.1966,6.20855,6.49622,1808.9859943248
2012-05-16,6.32176,6.32176,5.40628,5.40628,850.7507002458
2012-05-21,5.05747,5.05747,5.05747,5.05747,34.4761904748
2012-05-23,4.80461,4.80461,4.63883,4.63883,1174.2184873476
2012-05-25,5.40628,6.48744,4.88301,6.48744,993.725490156
2012-05-28,5.49346,5.49346,5.49346,5.49346,160.2128851476
2012-06-01,5.40628,5.40628,5.40628,5.40628,114.5826330486
2012-06-05,5.3975,5.3975,5.3975,5.3975,5.070028011
2012-06-06,5.38883,5.38883,5.38883,5.38883,5.070028011
2012-06-11,5.319,5.319,5.09238,5.23183,423.8543417196
2012-06-13,5.22305,5.22305,4.97897,4.97897,514.1008403154
2012-06-14,4.62137,4.88301,4.57788,4.88301,147.030812319
2012-06-15,5.05747,5.05747,5.05747,5.05747,114.5826330486
2012-06-22,5.04879,5.04879,4.80461,4.80461,344.761904748
2012-07-25,4.80461,4.80461,4.80461,4.80461,11.1540616242
2012-07-27,4.57788,4.57788,4.57788,4.57788,56.7843137232
2012-08-01,4.79583,4.79583,4.79583,4.79583,5.070028011
2012-08-02,4.79583,4.79583,4.79583,4.79583,2.0280112044
2012-08-03,4.79583,4.79583,4.79583,4.79583,1.0140056022
2012-08-21,4.78715,4.78715,4.78715,4.78715,11.1540616242
2012-09-06,4.78715,5.23183,4.78715,5.23183,1535.2044817308
2012-09-07,4.93538,6.10381,4.93538,6.10381,1361.8095237546
2012-09-10,6.53981,6.53981,6.10381,6.10381,252.4873949478
2012-09-12,6.88852,6.88852,6.88852,6.88852,5.070028011
2012-09-13,6.88852,6.88852,5.80736,6.27817,763.5462184566
2012-09-14,6.25204,6.27817,5.79859,6.27817,786.8683473072
2012-09-17,6.53981,6.53981,6.05154,6.05154,510.0448179066
2012-09-18,6.05154,6.05154,5.60687,5.60687,273.781512594
2012-09-19,5.60687,5.60687,5.27541,5.27541,432.9803921394
2012-10-11,6.27817,6.27817,6.27817,6.27817,11.1540616242
2012-10-16,6.26949,6.26949,5.80736,5.80736,142.9747899102
2012-10-26,5.40628,5.40628,5.40628,5.40628,11.1540616242
2012-10-29,5.49346,5.49346,5.49346,5.49346,171.3669467718
2012-11-05,5.755,5.755,5.755,5.755,2.0280112044
2012-11-06,5.755,5.755,5.755,5.755,5.070028011
2012-11-07,5.755,5.755,5.05747,5.05747,235.2492997104
2012-11-08,5.23183,5.23183,4.79583,4.79583,131.820728286
2012-11-09,4.88301,4.88301,4.35984,4.35984,116.610644253
2013-01-28,3.92394,3.92394,3.92394,3.92394,229.1652660972
2013-03-08,4.14189,4.14189,3.13913,3.13913,149.0588235234
2013-03-11,2.51123,2.51123,2.01419,2.14506,74.0224089606
2013-03-12,1.74397,2.09269,1.48234,1.48234,512.072829111
2013-03-13,1.42997,1.42997,1.39516,1.39516,12.1680672264
2013-03-14,1.67415,1.67415,1.56952,1.56952,31.4341736682
2013-03-15,1.56952,1.74397,1.32544,1.39516,2049.3053220462
2013-03-18,1.39516,1.39516,1.39516,1.39516,11.1540616242
2013-03-19,1.6568,1.70039,1.56952,1.70039,105.4565826288
2013-03-20,2.00551,2.00551,1.70039,1.70039,35.490196077
2013-03-21,2.17997,2.4416,2.17997,2.4416,80.1064425738
2013-03-22,2.92119,2.92119,2.35433,2.35433,58.8123249276
2013-03-25,2.62464,2.62464,2.62464,2.62464,43.6022408946
2013-03-26,3.14781,3.77562,3.14781,3.77562,783.8263305006
2013-03-27,4.52562,4.97029,3.66231,3.92394,865.9607842788
2013-03-28,3.90649,3.90649,3.13913,3.13913,513.0868347132
2013-04-02,3.05186,3.05186,2.51123,2.51123,139.9327731036
2013-04-03,2.01419,2.17997,1.61311,1.96192,551.6190475968
2013-04-04,1.96192,2.26715,1.56952,2.13638,889.2829131294
2013-04-05,1.74397,1.91833,1.5783,1.5783,733.1260503906
2013-04-08,1.5783,1.5783,1.5783,1.5783,47.6582633034
2013-04-09,1.28185,1.8922,1.28185,1.87474,163.2549019542
2013-04-10,2.13638,2.60718,2.09269,2.35433,775.714285683
2013-04-11,2.35433,2.78164,2.09269,2.78164,64.8963585408
2013-04-12,2.96478,3.48795,2.96478,3.47917,968.375350101
2013-04-15,3.91517,3.91517,3.91517,3.91517,23.3221288506
2013-04-17,3.48795,3.48795,2.4416,3.2699,366.0560223942
2013-04-23,3.26122,3.31349,3.26122,3.31349,114.5826330486
2013-04-26,2.8775,3.31349,2.61586,3.31349,160.2128851476
2013-04-30,2.61586,2.61586,2.17997,2.61586,103.4285714244
2013-05-02,2.61586,3.13913,2.61586,3.09545,274.7955181962
2013-05-08,2.61586,3.07799,2.61586,3.07799,28.3921568616
2013-05-09,2.52868,3.13913,2.52868,3.13913,293.0476190358
2013-05-10,3.66231,3.66231,3.66231,3.66231,11.1540616242
2013-05-15,2.92987,2.92987,2.34565,2.34565,103.4285714244
2013-05-20,2.79032,3.31349,2.79032,3.31349,3.0420168066
2013-05-28,3.31349,3.89771,3.31349,3.89771,124.7226890706
2013-06-07,3.88025,3.88025,3.13913,3.88025,119.6526610596
2013-07-08,3.48795,3.88025,3.48795,3.88025,119.6526610596
2013-07-09,3.13913,3.13913,2.96478,2.96478,80.1064425738
2013-07-10,2.39801,2.39801,2.39801,2.39801,22.3081232484
2013-07-22,2.00551,2.00551,2.00551,2.00551,114.5826330486
2013-07-31,1.30798,1.30798,1.30798,1.30798,573.9271708452
2013-08-01,1.56084,1.56084,1.2208,1.2208,159.1988795454
2013-08-02,1.2208,1.30798,1.2208,1.30798,326.5098039084
2013-08-05,1.32544,1.74397,1.32544,1.7353,5230.2408961476
2013-08-07,1.31676,1.31676,1.18589,1.30798,1895.1764705118
2013-08-08,1.2208,1.26439,1.2208,1.2208,1797.8319327006
2013-08-12,1.43875,1.70039,1.18589,1.69161,3555.1036413132
2013-08-14,1.39516,1.39516,1.39516,1.39516,56.7843137232
2013-08-19,1.35157,1.35157,1.35157,1.35157,344.761904748
2013-08-27,1.39516,1.67415,1.18589,1.67415,4816.52661045
2013-08-28,1.70039,1.74397,1.70039,1.7353,944.0392156482
2013-09-06,1.53471,1.83993,1.53471,1.83993,4558.9691874912
2013-09-12,1.96192,2.17997,1.70906,2.15374,3411.1148458008
2013-09-16,1.83115,2.13638,1.83115,2.13638,406.6162464822
2013-09-17,1.74397,1.74397,1.70906,1.70906,344.761904748
2013-10-09,1.96192,1.96192,1.96192,1.96192,5.070028011
2013-10-10,1.56952,1.88352,1.56952,1.88352,3440.5210082646
2013-10-11,1.96192,1.96192,1.96192,1.96192,5.070028011
2013-10-15,1.96192,2.17997,1.62188,2.17119,3784.2689074104
2013-10-16,1.87474,2.17997,1.61311,2.17997,6066.7955179626
2013-10-21,1.83115,2.17119,1.62188,2.17119,3526.7114844516
2013-10-22,1.91833,2.13638,1.91833,2.13638,126.750700275
2013-10-23,1.78756,2.13638,1.78756,2.13638,126.750700275
2013-11-07,1.74397,2.09269,1.74397,2.08401,1075.8599439342
2013-11-08,1.75265,2.10147,1.75265,2.09269,1288.8011203962
2013-11-13,1.87474,1.87474,1.87474,1.87474,114.5826330486
2013-11-18,2.00551,2.00551,2.00551,2.00551,5.070028011
2013-11-19,2.00551,2.79032,2.00551,2.79032,6530.196078168
2013-11-20,2.35433,3.17395,2.19742,3.17395,10995.876750257
2013-11-21,3.18272,3.18272,2.81645,2.81645,3342.1624648512
2013-11-22,2.27583,2.57227,2.18865,2.18865,3848.151260349
2013-11-25,2.18865,2.5636,2.13638,2.13638,1263.4509803412
2013-11-26,2.09269,2.30206,2.00551,2.00551,149.0588235234
2013-11-27,1.9706,1.9706,1.9706,1.9706,236.2633053126
2013-11-29,1.96192,2.24101,1.96192,2.24101,176.4369747828
2013-12-02,2.24101,2.24101,2.24101,2.24101,11.1540616242
2013-12-04,2.09269,2.09269,2.00551,2.00551,1949.9327730306
2013-12-05,1.97938,2.00551,1.61311,2.00551,54774.55461964
2013-12-06,1.99683,1.99683,1.74397,1.83115,586.0952380716
2013-12-09,2.03165,2.03165,2.03165,2.03165,2522.8459382736
2013-12-10,1.74397,2.03165,1.74397,2.03165,2523.8599438758
2013-12-11,2.04042,2.08401,1.74397,1.74397,8930.3473385754
2013-12-12,1.6568,1.6568,1.61311,1.61311,2522.8459382736
2013-12-13,1.52593,1.8922,1.52593,1.74397,1287.787114794
2013-12-16,1.7353,2.04042,1.61311,1.61311,628.683473364
2013-12-17,1.87474,1.87474,1.61311,1.61311,115.5966386508
2013-12-19,1.61311,1.74397,1.43875,1.74397,259.5854341632
2013-12-20,1.39516,1.39516,1.22948,1.22948,2.0280112044
2013-12-23,1.46488,1.74397,1.46488,1.74397,229.1652660972
2013-12-27,1.74397,1.74397,1.74397,1.74397,709.80392154
2014-01-02,1.91833,2.09269,1.91833,2.09269,687.4957982916
2014-01-08,1.74397,1.74397,1.6568,1.6568,22786.733892638
2014-01-09,1.61311,1.61311,1.61311,1.61311,934.9131652284
2014-01-10,1.63056,1.63056,1.63056,1.63056,114.5826330486
2014-01-14,1.53471,1.53471,1.52593,1.52593,4587.3613443528
2014-01-15,1.61311,1.63056,1.61311,1.63056,1032.2577030396
2014-01-16,1.63056,1.70039,1.63056,1.70039,3641.2941175002
2014-01-17,1.63056,1.63056,1.61311,1.61311,6926.6722686282
2014-01-20,1.58697,1.58697,1.58697,1.58697,947.0812324548
2014-01-23,1.52593,1.52593,1.51725,1.51725,5734.201680441
2014-01-27,1.53471,1.53471,1.51725,1.51725,3167.7535012728
2014-01-28,1.63934,1.74397,1.63934,1.74397,1949.9327730306
2014-01-30,1.70039,1.70039,1.70039,1.70039,1146.8403360882
2014-01-31,1.74397,1.74397,1.74397,1.74397,11.1540616242
2014-02-03,1.74397,2.09269,1.74397,1.85739,1720.7675069334
2014-02-04,2.09269,2.09269,1.83115,1.9706,848.7226890414
2014-02-05,1.96192,2.07524,1.96192,2.07524,808.1624649534
2014-02-06,2.08401,2.09269,1.94447,1.95315,2229.7983192378
2014-02-07,1.95315,1.95315,1.95315,1.95315,232.2072829038
2014-02-10,1.82248,1.95315,1.8137,1.95315,364.0280111898
2014-02-11,1.8137,1.95315,1.8137,1.95315,747.3221288214
2014-02-12,2.00551,2.23224,2.00551,2.22356,997.7815125648
2014-02-13,2.22356,2.22356,2.22356,2.22356,383.2941176316
2014-02-14,2.22356,2.22356,2.22356,2.22356,114.5826330486
2014-02-17,2.22356,2.22356,1.93579,1.95315,2066.5434172836
2014-02-18,1.93579,1.93579,1.83115,1.83115,274.7955181962
2014-02-19,1.94447,1.94447,1.82248,1.82248,2477.2156861746
2014-02-20,1.94447,1.94447,1.94447,1.94447,114.5826330486
2014-02-21,1.94447,1.94447,1.94447,1.94447,114.5826330486
2014-03-04,1.83115,1.83115,1.83115,1.83115,11467.38935528
2014-03-06,1.83115,1.84861,1.83115,1.84861,473.5406162274
2014-03-11,1.83115,1.83115,1.83115,1.83115,536.4089635638
2014-03-13,1.83115,1.83115,1.83115,1.83115,1700.4873948894
2014-03-17,1.96192,1.96192,1.96192,1.96192,56.7843137232
2014-03-18,1.83115,1.83115,1.83115,1.83115,802.0784313402
2014-03-19,1.82248,1.82248,1.82248,1.82248,573.9271708452
2014-03-24,1.83115,1.83115,1.83115,1.83115,388.3641456426
2014-03-25,1.87474,1.87474,1.87474,1.87474,114.5826330486
2014-03-26,1.83115,1.83115,1.83115,1.83115,229.1652660972
2014-03-27,1.83115,1.83115,1.83115,1.83115,114.5826330486
2014-03-31,1.83115,1.83115,1.83115,1.83115,114.5826330486
2014-04-01,1.83115,1.83115,1.83115,1.83115,229.1652660972
2014-04-02,1.83115,1.83115,1.83115,1.83115,92.2745098002
2014-04-07,1.74397,1.74397,1.74397,1.74397,872.044817892
2014-04-08,1.6568,1.6568,1.48234,1.48234,1983.3949579032
2014-04-10,1.56952,1.56952,1.56952,1.56952,975.4733893164
2014-04-15,1.59575,1.59575,1.59575,1.59575,34.4761904748
2014-04-16,1.59575,1.59575,1.59575,1.59575,963.30532209
2014-04-17,1.64802,1.64802,1.64802,1.64802,344.761904748
2014-04-23,1.52593,1.52593,1.52593,1.52593,2684.0728290234
2014-04-25,1.64802,1.75265,1.64802,1.75265,630.7114845684
2014-04-28,1.62188,1.62188,1.62188,1.62188,928.8291316152
2014-04-29,1.52593,1.52593,1.52593,1.52593,1146.8403360882
2014-05-05,1.52593,1.52593,1.52593,1.52593,1376.0056021854
2014-05-06,1.52593,1.52593,1.52593,1.52593,105.4565826288
2014-05-07,1.63934,1.96192,1.63934,1.74397,1043.4117646638
2014-05-09,1.61311,1.61311,1.52593,1.52593,986.6274509406
2014-05-14,1.52593,1.52593,1.50847,1.50847,1523.0364145044
2014-05-15,1.53471,1.63934,1.53471,1.63934,997.7815125648
2014-05-16,1.51725,1.51725,1.51725,1.51725,412.7002800954
2014-05-19,1.52593,1.52593,1.52593,1.52593,6513.9719885328
2014-05-20,1.64802,1.64802,1.64802,1.64802,114.5826330486
2014-05-26,1.51725,1.51725,1.51725,1.51725,1146.8403360882
2014-05-27,1.54338,1.84861,1.54338,1.84861,1995.5630251296
2014-06-04,1.84861,1.91833,1.63934,1.91833,3324.9243696138
2014-06-06,1.91833,2.30206,1.91833,2.25847,4931.1092434986
2014-06-13,1.78756,1.78756,1.78756,1.78756,2522.8459382736
2014-06-16,1.62188,1.62188,1.62188,1.62188,1376.0056021854
2014-06-18,1.62188,1.62188,1.56952,1.56952,1765.3837534302
2014-06-20,1.58697,1.58697,1.58697,1.58697,310.2857142732
2014-06-24,1.55206,1.68293,1.52593,1.68293,1788.7058822808
2014-06-27,1.69161,2.00551,1.69161,2.00551,1835.350139982
2014-06-30,1.96192,2.33687,1.96192,2.32819,4988.907562824
2014-07-04,1.96192,1.96192,1.87474,1.87474,1949.9327730306
2014-07-08,1.82248,2.17997,1.82248,2.17997,5848.7843134896
